Time,ETH / USD Denominated Closing Price
2018/2/24,834.0028463
2018/2/25,842.31172
2018/2/26,865.8630392
2018/2/27,875.0529819
2018/2/28,851.3236464
2018/3/1,869.3022668
2018/3/2,855.3528577
2018/3/3,854.3875695
2018/3/4,861.1307224
2018/3/5,851.6087531
2018/3/6,812.3461929
2018/3/7,751.754232
2018/3/8,699.337429
2018/3/9,725.3109068
2018/3/10,684.8805821
2018/3/11,718.0546897
2018/3/12,696.7392312
2018/3/13,689.9021026
2018/3/14,612.3326315
2018/3/15,611.1662759
2018/3/16,604.4843019
2018/3/17,550.8650041
2018/3/18,538.2613282
2018/3/19,550.1382127
2018/3/20,555.6366672
2018/3/21,557.397839
2018/3/22,539.1140453
2018/3/23,537.5928597
2018/3/24,525.082403
2018/3/25,522.2228019
2018/3/26,489.8176005
2018/3/27,450.5495944
2018/3/28,445.4580836
2018/3/29,385.3564702
2018/3/30,392.4671277
2018/3/31,394.5123781
2018/4/1,378.0660903
2018/4/2,383.3976937
2018/4/3,415.2149299
2018/4/4,378.5298773
2018/4/5,382.7007943
2018/4/6,369.9367528
2018/4/7,384.5072496
2018/4/8,399.4155508
2018/4/9,396.1653971
2018/4/10,413.4526993
2018/4/11,429.7974267
2018/4/12,493.5652066
2018/4/13,496.3177443
2018/4/14,503.221351
2018/4/15,531.26395
2018/4/16,510.9837583
2018/4/17,502.1266414
2018/4/18,524.9945938
2018/4/19,566.5825263
2018/4/20,616.3173407
2018/4/21,605.3963311
2018/4/22,621.1391014
2018/4/23,642.5817294
2018/4/24,705.0070205
2018/4/25,614.5464717
2018/4/26,661.7967618
2018/4/27,648.9100009
2018/4/28,682.5355506
2018/4/29,688.3061102
2018/4/30,667.0634077
2018/5/1,671.5316823
2018/5/2,686.6118434
2018/5/3,778.3775441
2018/5/4,783.3912136
2018/5/5,811.3563922
2018/5/6,784.8751797
2018/5/7,747.8353121
2018/5/8,751.6712314
2018/5/9,748.3347896
2018/5/10,725.9431689
2018/5/11,679.5324857
2018/5/12,685.7776403
2018/5/13,731.4267344
2018/5/14,726.4218089
2018/5/15,706.4711707
2018/5/16,705.390607
2018/5/17,668.044737
2018/5/18,693.6516838
2018/5/19,693.8095807
2018/5/20,713.5916914
2018/5/21,697.845526
2018/5/22,643.6678767
2018/5/23,578.2299886
2018/5/24,600.6105728
2018/5/25,578.5942729
2018/5/26,584.2874115
2018/5/27,570.3888428
2018/5/28,513.5970751
2018/5/29,563.903261
2018/5/30,556.7623846
2018/5/31,575.4698647
2018/6/1,578.827564
2018/6/2,591.8119591
2018/6/3,618.2328428
2018/6/4,589.8826707
2018/6/5,607.1803103
2018/6/6,605.4294448
2018/6/7,602.159334
2018/6/8,600.1281806
2018/6/9,595.9536233
2018/6/10,521.2769173
2018/6/11,529.3715289
2018/6/12,489.8360853
2018/6/13,474.4509752
2018/6/14,517.7222291
2018/6/15,486.4992463
2018/6/16,497.3220047
2018/6/17,495.8307411
2018/6/18,516.850604
2018/6/19,537.0747794
2018/6/20,535.2689378
2018/6/21,525.6111783
2018/6/22,462.9670827
2018/6/23,475.2452405
2018/6/24,454.3887683
2018/6/25,459.1942902
2018/6/26,432.4930815
2018/6/27,441.6751669
2018/6/28,419.7914541
2018/6/29,436.7364211
2018/6/30,451.7234167
2018/7/1,451.7984416
2018/7/2,475.9894486
2018/7/3,461.7516902
2018/7/4,465.7291502
2018/7/5,467.0586663
2018/7/6,468.5129646
2018/7/7,480.5334749
2018/7/8,486.1320538
2018/7/9,471.7215625
2018/7/10,433.1284392
2018/7/11,446.3470754
2018/7/12,423.881742
2018/7/13,431.3536826
2018/7/14,433.9191859
2018/7/15,448.7280678
2018/7/16,477.3652858
2018/7/17,499.4387598
2018/7/18,479.0016411
2018/7/19,468.4054468
2018/7/20,447.5579719
2018/7/21,461.9867995
2018/7/22,457.1352779
2018/7/23,448.9556733
2018/7/24,478.0369877
2018/7/25,472.6965085
2018/7/26,463.4333387
2018/7/27,469.3117928
2018/7/28,467.3217884
2018/7/29,466.9187636
2018/7/30,455.8956736
2018/7/31,431.7985237
2018/8/1,419.0199267
2018/8/2,410.9742084
2018/8/3,417.2534956
2018/8/4,406.4192195
2018/8/5,408.9499229
2018/8/6,405.3780874
2018/8/7,378.5596321
2018/8/8,354.3691943
2018/8/9,365.0011458
2018/8/10,330.6420038
2018/8/11,322.9020827
2018/8/12,317.9546406
2018/8/13,284.3916178
2018/8/14,276.2421417
2018/8/15,281.1496385
2018/8/16,285.766308
2018/8/17,314.9507148
2018/8/18,295.4338966
2018/8/19,300.0650172
2018/8/20,271.6171058
2018/8/21,280.9408238
2018/8/22,270.0811128
2018/8/23,275.2081277
2018/8/24,281.6849255
2018/8/25,278.4239132
2018/8/26,273.2899489
2018/8/27,284.2037548
2018/8/28,296.6259889
2018/8/29,288.5998548
2018/8/30,283.8843033
2018/8/31,282.2157653
2018/9/1,294.9402721
2018/9/2,293.7880126
2018/9/3,288.6421382
2018/9/4,285.3060096
2018/9/5,234.2016791
2018/9/6,229.0947613
2018/9/7,215.2796409
2018/9/8,196.648756
2018/9/9,195.5888317
2018/9/10,196.1221119
2018/9/11,184.3037098
2018/9/12,182.6687484
2018/9/13,212.6019655
2018/9/14,211.6978042
2018/9/15,222.8130105
2018/9/16,220.0224904
2018/9/17,196.8116669
2018/9/18,209.519993
2018/9/19,209.0851306
2018/9/20,223.6520885
2018/9/21,246.7333489
2018/9/22,240.1762645
2018/9/23,244.6507005
2018/9/24,227.8000915
2018/9/25,217.6229401
2018/9/26,215.0312618
2018/9/27,228.4367352
2018/9/28,221.042024
2018/9/29,231.3260546
2018/9/30,232.2158805
2018/10/1,229.9181473
2018/10/2,225.340538
2018/10/3,218.985656
2018/10/4,220.9349065
2018/10/5,226.5332475
2018/10/6,223.670021
2018/10/7,224.381154
2018/10/8,227.6293615
2018/10/9,226.3662575
2018/10/10,223.637415
2018/10/11,190.5031733
2018/10/12,194.2336841
2018/10/13,196.6409004
2018/10/14,192.0825617
2018/10/15,204.8455953
2018/10/16,205.6789655
2018/10/17,203.5891844
2018/10/18,199.1041677
2018/10/19,200.1854223
2018/10/20,202.6205903
2018/10/21,202.1977925
2018/10/22,200.9869679
2018/10/23,201.1062086
2018/10/24,200.5486081
2018/10/25,199.8627446
2018/10/26,200.6226616
2018/10/27,201.4184185
2018/10/28,202.4511032
2018/10/29,194.3213513
2018/10/30,195.658953
2018/10/31,196.8979319
2018/11/1,197.8192107
2018/11/2,199.8503726
2018/11/3,198.3546774
2018/11/4,209.9895728
